Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
BRB,0.7509999999999999,0.69,14.0,9.0,0.8240000000000001,73.5,13912.0,0.746
BRN,0.82,0.647,13.3,8.3,0.853,75.4,83039.0,1.0
BTN,,,8.0,,0.64,61.6,3722.0,0.546
BWA,0.5670000000000001,0.59,11.9,7.7,0.444,48.8,10032.0,0.696
CAF,0.311,0.249,5.4,2.9,0.365,43.8,886.0,0.32899999999999996
CAN,0.872,0.8140000000000001,15.8,11.2,0.9129999999999999,79.3,36700.0,0.892
CHE,0.8909999999999999,0.807,15.2,11.6,0.925,80.1,52890.0,0.9470000000000001
CHL,0.7659999999999999,0.684,13.9,9.0,0.877,77.0,14234.0,0.7490000000000001
CHN,0.602,0.48700000000000004,9.7,6.5,0.8059999999999999,72.4,3930.0,0.555
CIV,0.396,0.305,7.0,3.3,0.409,46.6,2742.0,0.5
CMR,0.44799999999999995,0.396,8.4,4.9,0.469,50.5,2472.0,0.485
COD,0.33299999999999996,0.315,7.1,3.5,0.47200000000000003,50.7,522.0,0.25
COG,0.495,0.452,9.5,5.6,0.486,51.6,3880.0,0.5529999999999999
COL,0.6559999999999999,0.537,11.5,6.5,0.789,71.3,8157.0,0.665
COM,,,8.8,,0.608,59.5,1483.0,0.40700000000000003
CPV,0.575,0.435,11.3,3.7,0.775,70.4,4170.0,0.564
CRI,0.7140000000000001,0.597,11.9,8.0,0.8859999999999999,77.6,9586.0,0.6890000000000001
CUB,0.6920000000000001,0.67,12.5,9.7,0.875,76.9,4183.0,0.564
CYP,0.807,0.684,12.5,10.1,0.894,78.1,29307.0,0.858
