"Net migration rate (per 1,000 people)"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2015",""
"124"," Nicaragua","-7.6","","-5.5","","-6.0","","-6.7","","-5.6","","-4.6"," a"
"189"," Niger","-2.5","","-0.1","","0.5","","-0.5","","-0.4","","-0.3"," a"
"157"," Nigeria","-0.2","","-0.2","","-0.2","","-0.3","","-0.4","","-0.4"," a"
"1"," Norway","1.8"," j","2.2"," j","2.7"," j","3.0"," j","6.9"," j","8.8"," a,j"
"48"," Oman","1.3","","10.4","","-17.3","","1.3","","19.2","","45.2"," a"
"150"," Pakistan","0.3","","-1.7","","-1.1","","-0.9","","-1.7","","-1.3"," a"
"119"," Palestine, State of","-4.1"," k","3.0"," k","4.8"," k","-11.2"," k","-4.7"," k","-2.0"," a,k"
"66"," Panama","-0.8","","0.1","","0.7","","1.0","","1.3","","1.5"," a"
"153"," Papua New Guinea","-0.1","","-0.1","","-0.1","","-0.0","","-0.0","","-0.0"," a"
"110"," Paraguay","-0.9","","-1.4","","-1.7","","-1.7","","-3.9","","-2.7"," a"
"89"," Peru","-1.8","","-2.6","","-4.3","","-4.7","","-3.4","","-1.6"," a"
"113"," Philippines","-1.0","","-1.5","","-2.1","","-2.7","","-3.3","","-1.3"," a"
"33"," Poland","-1.6","","-0.8","","-0.4","","-1.0","","-0.9","","-0.4"," a"
"41"," Portugal","-3.0","","3.0","","3.4","","3.4","","1.7","","-2.7"," a"
"37"," Qatar","27.1","","-4.1","","10.7","","58.7","","127.3","","56.5"," a"
"52"," Romania","-1.7","","-4.5","","-5.4","","-4.3","","-7.4","","-3.0"," a"
"49"," Russian Federation","1.2","","3.4","","3.1","","2.4","","3.0","","1.4"," a"
"158"," Rwanda","0.9","","-41.0","","34.7","","-1.7","","-1.6","","-1.4"," a"
"90"," Saint Lucia","-6.4","","-6.7","","-1.2","","-0.3","","3.4","","0.0"," a"
"99"," Saint Vincent and the Grenadines","-13.4","","-16.1","","-14.7","","-9.6","","-9.4","","-9.1"," a"
"104"," Samoa","-23.1","","-16.5","","-20.1","","-17.7","","-16.8","","-13.4"," a"
"143"," Sao Tome and Principe","-11.0","","-9.3","","-12.5","","-7.6","","-6.8","","-6.0"," a"
"39"," Saudi Arabia","9.9","","-1.3","","-3.5","","6.5","","7.8","","10.8"," a"
"164"," Senegal","-1.7","","-1.7","","-4.5","","-2.9","","-2.7","","-1.4"," a"
"67"," Serbia","-0.6"," l","3.7"," l","-10.2"," l","-5.9"," l","-2.6"," l","-2.2"," a,l"
"62"," Seychelles","-15.1","","1.7","","-0.3","","5.9","","-5.6","","-4.8"," a"
"184"," Sierra Leone","3.1","","-21.0","","-6.8","","19.6","","2.0","","-0.6"," a"
"9"," Singapore","8.4","","15.3","","13.8","","20.7","","18.8","","12.7"," a"
